scenario,condition,seed,seconds,wall_seconds,final_cells,births,divisions,deaths,max_generation,mean_margin_over_time,final_margin,mean_atp,mean_damage,mean_loop,corpse_material,corpse_toxic_material,necrophagy_mass,necrotoxin_uptake,edna_fragments,edna_material,hgt_attempts,hgt_integrations,hgt_digestions,hgt_novel_path_events,recipient_novel_path,first_path_age,recipient_genome_length,mean_genome_length,max_genome_length,mobile_exports,mobile_carriers,new_mobile_carriers,ecology_atp_total,cells_with_foreign_information,total_material,matter_residual,max_abs_matter_residual
corpse_hgt,hgt_no_restriction,101,25.0,1.4914486408233643,1,0,0,1,0,0.8985258568952502,0.7129869146592078,0.039755908255444755,0.0014018024529047779,0.23227299654331157,0.01903333238080179,0.0,0.2731236789190672,0.005745809826468351,0,0.0,6,4,2,1,1,0.1111111111111111,528,528.0,528,0,0,0,0.13845520936219483,1,13.788238030208323,-3.990218464977602e-06,3.990218464977602e-06
corpse_hgt,hgt_no_restriction,202,25.0,1.490706443786621,1,0,0,1,0,0.9159061060332307,0.6457573522100727,0.025833673473696805,0.0014976826754020752,0.17773576636864774,0.0,0.0,0.2969644551278893,0.005477841616350045,0,0.0,6,4,2,1,1,0.8888888888888892,528,528.0,528,0,0,0,0.14370018012813557,1,13.590003439152188,-3.0674920203921374e-06,3.0674920203921374e-06
corpse_hgt,hgt_no_restriction,303,25.0,1.5014288425445557,1,0,0,1,0,0.9155064388485402,0.7306175933554158,0.041758722482314325,0.0014070052285893222,0.2597080308342517,0.01943673110282848,0.0,0.24844714056467923,0.0054862896080411635,0,0.0,6,5,1,1,1,0.05555555555555555,544,544.0,544,0,0,0,0.14230637092422938,1,13.823803185001452,-3.601746923820315e-06,3.601746923820315e-06
mobile_element,mobile_export_on,101,45.0,7.192802667617798,3,0,0,0,0,0.502760866925781,0.27220422837915786,0.0,0.02926893889038062,0.01709343116918714,0.0,0.0,0.0,0.0,0,0.0,47,26,21,0,0,,592,624.0,640,47,3,2,1.6999680000000004,3,20.823382328404342,-4.927349497307887e-06,4.927349497307887e-06
mobile_element,mobile_export_on,202,45.0,7.292199373245239,3,0,0,0,0,0.5137357259657858,0.31456110052675984,0.00408140158247211,0.02104662475426956,0.01728646337517963,0.0,0.0,0.0,0.0,1,0.01312,46,22,24,0,0,,640,602.6666666666666,640,47,3,2,1.656128,3,20.555382823096508,-5.122240366972619e-06,5.122240366972619e-06
mobile_element,mobile_export_on,303,45.0,7.23504376411438,3,0,0,0,0,0.5225512600642747,0.37834676016840146,0.0077168039360351786,0.018692222028120754,0.031442037348452884,0.0,0.0,0.0,0.0,0,0.0,37,13,24,0,1,,528,554.6666666666666,640,37,3,2,1.272128,3,20.68791375851941,-5.40940984095073e-06,5.40940984095073e-06
mobile_element,mobile_export_off,101,45.0,7.15021014213562,3,0,0,0,0,0.6292079241735833,0.34865338804631324,0.005517808718694847,0.014531391754839694,0.037133977518510566,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,,496,485.3333333333333,496,0,1,0,0.011136,1,20.4778341108989,-5.665759164941164e-06,5.665759164941164e-06
mobile_element,mobile_export_off,202,45.0,6.868934154510498,3,0,0,0,0,0.612082010834056,0.36721510585316325,0.0076239834543650265,0.016564525472705784,0.05075850960087958,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,,496,485.3333333333333,496,0,1,0,0.011136,1,20.390617153786685,-5.1674446659433215e-06,5.1674446659433215e-06
mobile_element,mobile_export_off,303,45.0,6.97929573059082,3,0,0,0,0,0.6546218735956815,0.24458136530473687,0.0,0.01266578551786268,0.0019486671135142324,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,,496,485.3333333333333,496,0,1,0,0.011136,1,20.127599142559152,-5.559205781935361e-06,5.559205781935361e-06
mobile_element,mobile_no_restriction,101,45.0,7.24934196472168,3,0,0,0,0,0.502760866925781,0.27220422837915786,0.0,0.02926893889038062,0.01709343116918714,0.0,0.0,0.0,0.0,0,0.0,47,26,21,0,0,,592,624.0,640,47,3,2,1.6999680000000004,3,20.823382328404342,-4.927349497307887e-06,4.927349497307887e-06
mobile_element,mobile_no_restriction,202,45.0,7.592807769775391,3,0,0,0,0,0.4413731056069198,0.25879647698134467,0.0007440316741316416,0.025074300799841024,0.0051027907367426845,0.0,0.0,0.0,0.0,42,0.55104,41,25,16,0,1,,608,618.6666666666666,640,83,3,2,2.514368000000001,3,20.358016595815315,-4.834169413214795e-06,4.834169413214795e-06
mobile_element,mobile_no_restriction,303,45.0,6.896648645401001,3,0,0,0,0,0.4557836492759122,0.244444044961429,0.0,0.025649784748616747,0.003611239298558748,0.0,0.0,0.0,0.0,0,0.0,44,25,19,0,1,,640,618.6666666666666,640,44,3,2,1.5985280000000002,3,21.039269441309283,-5.147909277525287e-06,5.147909277525287e-06
