trial_type,seed_set,condition,control,seed,wall_seconds,cells,cells_control,cells_treatment,deaths,divisions,final_margin_control,final_margin_difference,final_margin_treatment,final_mass_residual,finite,finite_control,finite_treatment,margin_auc_control,margin_auc_difference,margin_auc_treatment,mass_residual_control,mass_residual_treatment,mean_atp,mean_damage,mean_margin_over_life,p2_cell_prune_count,p2_cue_episode_updates,p2_cue_toxin_total,p2_ligand_sensor_values,p2_neural_atp_total,p2_neural_signal_total,p2_nonreward_uptake_total,p2_plasticity_updates,p2_prediction_error,p2_prediction_rms,p2_predictor_updates,p2_recurrent_messages,p2_reward_uptake_total,p2_rewire_count,p2_wear_material_total,plasticity_control,plasticity_treatment,post_switch_mean_margin,pre_switch_mean_margin,predictor_control,predictor_treatment,recurrent_messages_control,recurrent_messages_treatment,reward_gain_control,reward_gain_difference,reward_gain_treatment,toxin_gain_control,toxin_gain_difference,toxin_gain_treatment,uptake_during_trial
common_twin,development,full,no_recurrence,202,28.21734356880188,,1,1,,,0.2389634420055571,-0.00011993949558253281,0.23884350250997458,,,1,1,13.702244467436959,-0.04371530531424739,13.658529162122711,-2.2407798084600472e-05,-2.2347238012088155e-05,,,,,,,,,,,,,,,,,,,4072,4024,,,14256,14256,402,402,0.30614045267492507,-0.008743801355951097,0.29739665131897397,0.013432058700402191,0.0007632911067081034,0.014195349807110295,
common_twin,development,full,no_recurrence,303,27.73125457763672,,1,1,,,0.5755244296805472,-0.02426148699372077,0.5512629426868264,,,1,1,18.338476395722008,0.03303596869239911,18.371512364414407,-1.8622554058822516e-05,-1.901298866613388e-05,,,,,,,,,,,,,,,,,,,7120,7096,,,14256,14256,908,880,0.41255458026734004,0.0700706967040432,0.48262527697138324,0.15116891635439764,-0.004847763974936914,0.14632115237946072,
common_twin,holdout,full,fixed,404,48.2712128162384,,1,1,,,0.23379374163426775,1.0371111673623812e-05,0.23380411274594137,,,1,1,10.996159732310018,-0.01105437196978265,10.985105360340235,-2.0310973209092253e-05,-2.055519508203929e-05,,,,,,,,,,,,,,,,,,,808,2864,,,7632,14256,411,411,0.07444951122861235,-0.020603625937852504,0.05384588529075984,0.011182133168446044,-0.0005196710775836038,0.01066246209086244,
common_twin,holdout,full,fixed,505,46.17965841293335,,1,1,,,0.2441427502381364,0.6960546576815869,0.9401974079197233,,,1,1,20.52291865804979,4.333302806929932,24.856221464979722,-2.5869413256884854e-05,-2.0101644111036876e-05,,,,,,,,,,,,,,,,,,,2672,7368,,,7632,14256,1657,1608,1.1914617758514874,0.9369102921621382,2.1283720680136256,0.06834262552852954,-0.005593846584736467,0.06274877894379308,
common_twin,holdout,full,fixed,606,44.49727272987366,,1,1,,,0.9711346456543771,0.0049389767268724905,0.9760736223812496,,,1,1,35.08541018779676,3.0697141001238677,38.15512428792063,-1.7253777276238225e-05,-1.6299117870488544e-05,,,,,,,,,,,,,,,,,,,2600,9120,,,7632,14256,2375,2338,3.5148652430359535,0.4269942413680603,3.941859484404014,0.1754403846199457,-0.020343167603982748,0.15509721701596296,
common_twin,holdout,full,fixed,707,45.8755624294281,,1,1,,,0.9675479296190524,0.004073432693942447,0.9716213623129949,,,1,1,19.962671716402475,0.769470754297803,20.73214247070028,-1.964676749466321e-05,-1.9237644099945328e-05,,,,,,,,,,,,,,,,,,,2232,5496,,,7632,14256,1310,1333,1.2675387242431002,0.24498272587479697,1.5125214501178972,0.0701979397238253,-0.000747483696953502,0.0694504560268718,
common_twin,holdout,full,fixed,808,28.54912257194519,,1,1,,,0.23893801102593304,-2.438760213377411e-05,0.23891362342379927,,,1,1,12.04059215469029,0.23186776386699748,12.272459918557287,-2.487485904367759e-05,-2.518098372306099e-05,,,,,,,,,,,,,,,,,,,2016,5368,,,7632,14256,1044,1044,0.13928006537221327,0.014039147283617215,0.15331921265583048,0.05202207765526389,0.002063125393750552,0.054085203049014444,
common_twin,holdout,full,fixed,909,21.76113247871399,,1,1,,,0.24370821822973443,0.00037711150856814535,0.24408532973830258,,,1,1,32.01601573126465,2.8427641839576623,34.858779915222314,-1.616621350919445e-05,-1.4575944824457565e-05,,,,,,,,,,,,,,,,,,,2672,9016,,,7632,14256,1323,1277,2.4470757838791064,0.3022812401235573,2.7493570240026637,0.31603354232224345,-0.03550348739761211,0.28053005492463134,
independent,development,fixed,,101,34.04726552963257,1,,,0,0,,,,-1.7345870869434066e-05,1,,,,,,,,0.0,0.04895914352607701,0.7660074837500171,0,0,0.19649415284256377,"[0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998]",0.07442585097139578,0.023847012328945007,0.5394634806866165,0,0.017139071961380842,0.019139803144448016,0,1115,6.188787216194686,0,0.003028701008755256,,,0.5721745483371801,0.931494099050985,,,,,,,,,,,6.72827579899729
independent,development,fixed,,202,33.896318674087524,1,,,0,0,,,,-2.0769535332476607e-05,1,,,,,,,,0.0,0.06880681468876787,0.3483460645795561,0,0,0.017535750898864732,"[0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998]",0.018040680198365248,0.00934492937177797,0.06053029424988875,0,0.015235448205685913,0.017284240027074897,0,387,0.280578911770596,0,0.00011872590621484505,,,0.26058924689693397,0.4232692384816078,,,,,,,,,,,0.3412321997979676
